Post_Number,Post_Name,Platform,Headline,Subheadline,Body_Text,CTA,Hashtags,Design_Template,Size
1,Brand Introduction,Facebook + Instagram,YOUR GOLDEN ADVENTURE AWAITS,Oro Adventure Tours | Oroquieta City,"Affordable packages ✅ | DOT-recognized operator ✅ | Perfect for families, groups & solo explorers ✅",DM us or comment BOOK to get started!,"#OroAdventureTours #OroquietaCity #HiddenGemPhilippines #AdventurePhilippines #MisamisOccidental #ExplorePhilippines #PhilippineTourism #IslandLife #TravelPH",Bold travel announcement Instagram,1080x1080
2,Kayaking Spotlight,Facebook + Instagram,NO SIARGAO? NO PROBLEM.,Kayaking at Punta Blanca | Oroquieta City,"Glide through mangroves 🌿 | Explore hidden coves 🏝️ | Golden hour on the water 🌅 | Affordable rates. Unforgettable views.",PM us to book your slot today!,"#OroKayaking #KayakingPhilippines #PuntaBlanca #OroquietaCity #SiargaoVibes #MangroveKayaking #AdventureTravel #ExploreMorePH #OroAdventureTours",Adventure sport social media post,1080x1080
3,Mangrove Aesthetic,Instagram,Step into another world.,"Oro Adventure Tours | @oroadventures","Walking through the mangroves of Oroquieta isn't just a tour — it's a moment. Tag someone who needs this kind of peace. 👇",,#MangroveForest #NatureLovers #OroquietaCity #EcoTourism #PhilippineNature #TravelPhilippines #OroAdventureTours #NatureTherapy #MindanaoTourism,Nature minimal Instagram portrait,1080x1350
4,Testimonial,Facebook + Instagram,⭐⭐⭐⭐⭐ Our guests say it best!,— A Happy Guest 🙏,"I had an amazing experience with Oro Adventure Tours — the guides were so friendly and the views were absolutely breathtaking. I didn't expect Oroquieta to be this beautiful!",DM us to book your adventure!,"#CustomerLove #HappyTravelers #OroAdventureTours #TravelReview #OroquietaCity #ExplorePhilippines #AdventureAwaits #TrustOro",Quote social media post dark,1080x1080
5,Promo Offer,Facebook,LIMITED SLOTS ONLY!,Special group rates available! 🎉,"Kayaking at Punta Blanca 🚣 | Mangrove Forest Tour 🌿 | Coastal Exploration 🏝️ | Perfect for families, barkadas, team-builds & school trips.",PM us NOW to reserve your slot — we fill up fast!,"#OroAdventureTours #BookNow #OroquietaCity #WeekendGetaway #AdventurePhilippines #LimitedSlots #GroupTour #TeamBuilding",Limited offer Facebook ad,1200x628
6,Local Destination Pride,Facebook + Instagram,OROQUIETA'S HIDDEN TREASURE,Oro Adventure Tours | The City of Good Life,"We've always known our city is special. The waters, the mangroves, the coastlines — there's nowhere else quite like it. Share this if you're proud to call Oroquieta home! 🙌🏽",,#OroquietaCity #ProudlyOroquietanyo #CityOfGoodLife #MindanaoTourism #HiddenGemPH #OroAdventureTours #SupportLocal #VisitMisamisOccidental,Travel destination Facebook post,1080x1080
7a,Story Frame 1,Instagram + Facebook Stories,Have you been to Oroquieta City? 👀,Oro Adventure Tours,,"Yes, love it! 💛 or Not yet? 😮","#OroAdventureTours #OroquietaCity #AdventurePhilippines",Instagram story adventure,1080x1920
7b,Story Frame 2,Instagram + Facebook Stories,"There's a place where the water is THIS clear... 🌊",Swipe to find out where →,,"Discover more 👉","#OroAdventureTours #KayakingPH #HiddenGemPhilippines",Instagram story adventure,1080x1920
7c,Story Frame 3,Instagram + Facebook Stories,Book Your Golden Adventure!,Oroquieta City's Premier Outdoor Experience,"Kayaking | Mangroves | Coastal Tours | Affordable Rates",DM us: @oroadventures,"#OroAdventureTours #BookNow #OroquietaCity",Instagram story adventure,1080x1920
8,Reel Thumbnail,Instagram + Facebook Reels,"POV: You chose Oroquieta over a 10-hour bus ride 🚣✨",Oro Adventure Tours | @oroadventures,"World-class kayaking & nature experiences right here in Oroquieta City, Mindanao. Affordable. Stunning. Unforgettable.",DM us to book!,"#OroAdventureTours #POV #KayakingPH #OroquietaCity #ViralTravel #HiddenGemPhilippines #Reels #TravelMindanao",Reels cover vertical travel,1080x1920
9a,Eco-Tourism Slide 1,Instagram + Facebook,Why we do what we do. 🌿,Oro Adventure Tours,,Swipe to learn more →,"#EcoTourism #OroAdventureTours #OroquietaCity",Nature eco carousel Instagram,1080x1080
9b,Eco-Tourism Slide 2,Instagram + Facebook,Adventure means respect.,For the sea. For the mangroves. For the communities of Oroquieta.,"At Oro Adventure Tours, we believe tourism should leave places better than we found them.",,"#EcoTourism #ResponsibleTravel #MangroveConservation #SustainableTravel",Nature eco carousel Instagram,1080x1080
9c,Eco-Tourism Slide 3,Instagram + Facebook,Join us. Explore responsibly. 💛,Oro Adventure Tours | Oroquieta City,,DM to Book | @oroadventures,"#EcoTourism #OroAdventureTours #PhilippineEcotourism",Nature eco carousel Instagram,1080x1080
10,Did You Know,Facebook,Did You Know? 🤔,Oroquieta has one of Mindanao's most stunning mangrove ecosystems!,"Our kayaking routes wind through lush mangrove tunnels with bamboo bridges, opening up to the sparkling waters of the Moro Gulf. It's the kind of experience you'll be talking about for years. 🌿",DM us to plan your visit!,"#DidYouKnow #OroquietaCity #MangroveForest #NaturePhilippines #OroAdventureTours #MisamisOccidental #TravelFacts #ExplorePhilippines",Infographic educational Facebook,1080x1080
